id,name,parent_id
796,Ankeny,24247
797,Anklam,7974
798,Anlu,4526
799,Ann Arbor,24247
800,Anna,24247
802,Anna Regina,8735
803,Annaba,486
804,Annaberg-Buchholz,7974
805,Annaburg,7974
806,Annaka,10483
807,Annan,24246
808,Annandale,24247
809,Annapolis,24247
810,Annapolis Neck,24247
811,Annecy,7492
812,Annemasse,7492
813,Annfield Plain,24246
814,Anniston,24247
815,Annweiler am Trifels,7974
816,Anoixi,8422
817,Anoka,24247
818,Anouvong,12583
819,Anqing,4526
820,Anqiu,4526
821,Ansan,11840
822,Ansbach,7974
823,Anseong,11840
824,Ansfelden,1292
825,Anshan,4526
826,Anshun,4526
827,Ansiao,18509
828,Ansonia,24247
829,Anstey,24246
830,Antalaha,13652
831,Antalya,24038
832,Antananarivo,13652
833,Antelope,24247
834,Antequera,22090
835,Anthem,24247
836,Anthony,24247
838,Antibes,7492
839,Antigo,24247
840,Antigonish,3794
841,Antigua And Barbuda,0
842,Antigua Guatemala,8631
843,Antioch,24247
845,Antipolo,17982
846,Antis,24247
847,Antofagasta,4505
848,Antoing,2143
849,Antonio Enes,15363
850,Antony,7492
851,Antratsyt,24174
852,Antrim,24246
854,Antsirabe,13652
855,Antsiranana,13652
856,Antsohihy,13652
857,Antwerp,2143
858,Anuradhapura,22195
859,Anyang,11840
860,Anyksciai,13131
861,Anzhero-Sudzhensk,19881
862,Aomori,10483
863,Aosta,10293
864,Ap Da Loi,24739
865,Apac,24155
866,Apace,21726
867,Apache Junction,24247
868,Apan,14593
869,Apapa,16200
870,Apaseo el Alto,14593
871,Apatin,21139
872,Apatity,19881
873,Apatzingan de la Constitucion,14593
874,Apaxco de Ocampo,14593
875,Ape,12643
876,Apex,24247
877,Apia,20265
878,Apiai,3060
879,Apizaco,14593
880,Apodi,3060
881,Apolda,7974
882,Apollo Beach,24247
883,Apolo,2794
884,Apopka,24247
885,Apostolove,24174
886,Appenzell,22778
887,Apple Valley,24247
890,Appleton,24247
892,Applewood,24247
893,Appley Bridge,24246
894,Apsheronsk,19881
895,Aptos,24247
896,Apucarana,3060
897,Aqadyr,11194
898,Aqsu,11194
900,Aqtau,11194
901,Aqtobe,11194
902,Aquia Harbour,24247
903,Aquidauana,3060
904,Ar Rahmaniyah,6575
905,Ar Ramadi,10193
906,Ar Raqqah,22798
907,Ar Rastan,22798
908,Ar Rawdah,26302
909,Ar Rayyan,18886
910,Ar Rommani,15216
911,Ar Rustaq,16985
912,Ar Rutbah,10193
913,Arab,24247
914,Aracaju,3060
915,Aracariguama,3060
916,Aracati,3060
917,Aracatuba,3060
918,Aracinovo,13626
919,Aracoiaba da Serra,3060
920,Aracuai,3060
921,Arad,19663
922,Arafat,14294
923,Araguaina,3060
924,Araguari,3060
925,Arak,10188
926,Aral,11194
927,Aramil,19881
928,Aramina,3060
929,Aran Bidgol,10188
930,Arandelovac,21139
931,Arandu,3060
932,Aranguez,23864
933,Aransas Pass,24247
934,Aranyaprathet,23358
935,Arao,10483
936,Araouane,13823
937,Arapiraca,3060
938,Arapongas,3060
939,Ararangua,3060
940,Araraquara,3060
941,Araras,3060
942,Ararat,1290
943,Arauca,4987
944,Arauco,4505
945,Araure,24602
946,Arawa,17542
947,Araxa,3060
948,Arba Minch',6955
949,Arbon,22778
950,Arbroath,24246
951,Arbutus,24247
952,Arcadia,24247
955,Arcata,24247
956,Archangelos,8422
957,Archbald,24247
958,Archdale,24247
959,Archer Lodge,24247
960,Arcos de la Frontera,22090
961,Arcoverde,3060
962,Arcozelo,18509
963,Arcueil,7492
964,Ardabil,10188
965,Ardahan,24038
966,Ardanuc,24038
967,Arden Hills,24247
968,Arden-Arcade,24247
969,Ardestan,10188
970,Ardino,3401
971,Ardmore,24247
973,Ardon,19881
974,Ardrossan,24246
975,Ardud,19663
976,Arealva,3060
977,Arecibo,18768
978,Aregua,17557
979,Areiopolis,3060
980,Arendal,16507
981,Arequipa,17894
982,Arezzo,10293
983,Arganil,18509
984,Argenteuil,7492
985,Argentina,0
986,Argoncilhe,18509
987,Argos Orestiko,8422
988,Argostoli,8422
989,Argun,19881
990,Argyle,3794
991,Arhavi,24038
992,Ariana,24016
993,Arica,4505
994,Aridaia,8422
995,Arilje,21139
996,Arima,23864
997,Aripuana,3060
998,Ariquemes,3060
999,Ariranha,3060
1000,Aristobulo del Valle,985
1001,Arizona City,24247
1002,Arjona,4987
1003,Arkadak,19881
1004,Arkadelphia,24247
1005,Arkansas City,24247
1006,Arkhangelsk,19881
1007,Arles,7492
1008,Arlesey,24246
1009,Arlesheim,22778
1010,Arlington,24247
1015,Arlington Heights,24247
1017,Arlit,16199
1018,Arlon,2143
1019,Armadale,24246
1020,Armamar,18509
1021,Armant,6575
1022,Armavir,19881
1024,Armenia,0
1026,Armentieres,7492
1027,Armidale,1290
1028,Armthorpe,24246
1029,Armur,10093
1030,Armyans'k,24174
1031,Arnhem,15921
1032,Arnold,24246
1035,Arnprior,3794
1036,Arnsberg,7974
1037,Arnstadt,7974
1038,Arnstedt,7974
1039,Arnstein,7974
1040,Arolsen,7974
1041,Arqalyq,11194
1042,Arraiolos,18509
1043,Arran-Elderslie,3794
1044,Arras,7492
1045,Arrecife,22090
1046,Arroyo,18768
1047,Arroyo de la Luz,22090
1048,Arroyo Grande,24247
1049,Arroyo Seco,14593
1050,Arroyos y Esteros,17557
1051,Arruda dos Vinhos,18509
1052,Arsenyev,19881
1053,Arsk,19881
1054,Arta,5982
1055,Artashat,1024
1056,Artem,19881
1057,Artemisa,5411
1058,Artemivsk,24174
1059,Artemovsk,19881
1060,Artemovskiy,19881
1061,Artern,7974
1062,Artesia,24247
1064,Arth,22778
1065,Artigas,24331
1066,Artondale,24247
1067,Artux,4526
1068,Artvin,24038
1069,Arua,24155
1070,Aruba,0
1071,Aruja,3060
1072,Arusha,23038
1073,Arvada,24247
1074,Arvayheer,15030
1075,Arvin,24247
1076,Arys,11194
1077,Arzamas,19881
1078,Arzberg,7974
1079,As,5494
1080,As Salamiyah,22798
1081,As Sallum,6575
1082,As Salt,10698
1083,As Samawah,10193
1084,As Sanamayn,22798
1085,As Sib,16985
1086,As Sidrah,12971
1087,As Sulaymaniyah,10193
1088,As Sulayyil,20833
1089,As Suqaylibiyah,22798
1090,As Suwayda',22798
1091,As Suwayhirah as Sahil,16985
1092,Asaba,16200
1093,Asadabad,168
1094,Asahi,10483
1095,Asahikawa,10483
1096,Asakawa,10483
1097,Asan,11840
1098,Asansol,10093
1099,Asau,20265
1100,Asbest,19881
1101,Asbestos,3794
1102,Asbury,24247
1103,Asbury Lake,24247
1104,Asbury Park,24247
1105,Ascension,14593
